,User_ID,Product_ID,Rating
6655415,A3GX0FAMEXV6FB,B009M0TFFU,5.0
7367340,A1CPRP3VFJRS1R,B00D78Q2AO,4.0
1501733,A11T807LX2EF00,B000WXQT9Q,5.0
1411577,A680RUE1FDO8B,B000UY3NR8,5.0
3201819,A3S5WYWYKSAI9C,B003BEDTBE,3.0
3057317,A3EQQHWJ1EEYEU,B00354MVP0,4.0
7443854,A7Z2J9V37ABCO,B00DR0PDNE,5.0
6430199,A18OTCHQ6MXD6X,B0090BSSZO,5.0
3679822,A3V7D0LH8L7BG0,B003Y74AWU,5.0
7784385,A38KK0SZYEH5UD,B00IB40AC0,4.0
7769660,ABIVKBMSIPEDY,B00HVT27B8,5.0
2444252,A1NZLRAZJGD99W,B00269SK6O,5.0
5462736,A3QDMDSANPYGUX,B006QOG4KE,5.0
2237173,A2Y29IRSI08F0I,B001QFZMCO,5.0
1284361,AY3D7DG5L5WCK,B000PD29HO,4.0
4872565,AFR9GYKAHM37U,B005DSPLC6,5.0
2221297,A2UOHALGF2X77Q,B001PKTR76,4.0
7361849,A1URXSRV6WDHVY,B00D68ZVY8,5.0
1387760,AGEKVD8JPZQMT,B000U9WVW6,4.0
7780476,A2AF0NOCM71J0B,B00I59VBH4,5.0
2812017,A23ONMGKEWDG4M,B002ROIJGY,2.0
7396892,A12DQZKRKTNF5E,B00DIFIM36,4.0
5399391,A3UW23DBF2KHWC,B006I0KL6Y,5.0
273237,A1K4G5YJDJQI6Q,B000098XIJ,5.0
3312762,A2294LS59GC5K7,B003ES5ZSW,4.0
4025108,AAEVGE52KL0DJ,B004CLYEI2,5.0
6172604,A1L0P1ZP5FD6EC,B008CV89CK,5.0
1744951,A680RUE1FDO8B,B00169N0BK,5.0
1212097,A3R4794K2RVU1S,B000NLLXVQ,5.0
4758373,A33775AIB1A664,B0057WIETU,3.0
2688967,AGFSSC5DBY2HU,B002LITYCE,5.0
2829182,A1VTCSCH8FFC76,B002SH43MO,2.0
2843319,A3LZA698SQPCXE,B002SZEOLG,4.0
