Product_ID,User_ID,Rating
6303542352,A1RXXNP0EXYRI,5.0
B00003OSTA,ADNBUKNODH7OX,5.0
6303908306,A2G1Z262UMOFQP,5.0
B000065V3K,ATJ1TVH5IVPC3,5.0
6303398480,A1X4HJ17RZWY9Q,5.0
B00005JLQ8,A2HMWTSBEXNJ3Q,5.0
6303943004,A2QKLOWB4VIWZS,4.0
6303257348,A13XGI2NKY36J6,5.0
6303142346,ASOJGV0S8CVHJ,5.0
6305210144,A1T17LMQABMBN5,2.0
6305568901,A39PWCRIWK8DTC,2.0
0790737744,A4YVSGK41E4LH,4.0
B00004Y56D,A3IJRKGGPP8ZRT,3.0
6302269431,A9UP3WCEFCP6A,5.0
6302181755,A1YX38NQOPOLGA,4.0
6305828075,A16D2VG7OHF6S5,5.0
0790729709,AQ9504QYZYRP3,5.0
6303167314,A2OO13QPJDMQJK,3.0
B00005UKKI,A1QB6KOBRULLYI,5.0
B00003CXQ0,A26DNGL09ZXS3K,5.0
B00067BCB8,A2XLIRWRB4K1JX,5.0
B0000D1FG6,A2GSH5IJ389KCQ,3.0
B0002ERXC2,AI2P8X2HJPGMO,4.0
B00005JNOG,AC7QA6A4I2BMF,5.0
6304872402,ACK9TW0XZF5LC,5.0
6304045883,A1Y8VDFTGWG0AC,4.0
B00000F4MO,A3RK8LWB9HPTMO,5.0
B00005JN0T,A13G6GAI4HO0YG,5.0
B0000VJG72,ABBNES2LHGTI0,4.0
630197882X,A2RVM3QLLUJNL7,5.0
0967418518,A21H938X7TF1IJ,5.0
B00006CXSS,ANPE4VZEH7O0C,5.0
6303433782,A2RL5WB3NW9CFN,4.0
B00005JLJK,A2BUACE5S0BVYF,5.0
1559409002,ATKL8C5IQ56E9,5.0
0784011648,A2AKDKY2LNMQVK,5.0
B000007MW8,A29LW2SVHZKLC7,5.0
6305480869,A1YJB9Q7C0Y5OY,5.0
6303079709,A3PRB2T3QM8DIZ,2.0
B0000039D7,A2Y0PF5SSP6X4Q,5.0
B00003CXQS,AC4040HT0ZCOQ,5.0
6304331851,A2LEIGAEKZZOSR,5.0
6305958041,A14JTRQUNRNJZP,5.0
6303965415,A19KOBR4Q6EG3,3.0
B00005JOXZ,AXB2JG359C6UU,5.0
B00005B6L0,A1N49TOJZFG48H,5.0
6303984088,AHSICBLPIO666,5.0
6305741921,A2PJMXMO1M413H,3.0
B00000FBC9,A3EPIIQ25UB4QW,5.0
B00003CXT9,A2WGQC991DXBEA,5.0
B00006CXSS,A14VUE6G1HR3N,3.0
B0001WDLN0,A3MV1KKHX51FYT,4.0
6305112878,A3PRUBZP9O6YYU,5.0
B00005JLEX,A3J4VXTHQNZNV5,5.0
B00005JMPT,A18ONI0ER0YK4Q,5.0
6303072798,A2J0EOU125KQPM,5.0
6304821522,A2HB8OXRKARU0U,4.0
B00005LAET,A26C38FR8DW86Y,1.0
6303365752,A1X2PORX9UEFKB,5.0
B00009XN4C,A22K1O5NO4QP1X,3.0
